code,located_in,postal_code,address,transit_time
BLR5,Karnataka State,560067,"38-39, Soukya Road, Kacharakanahalli, Hoskote, Karnataka 560067","by Sea: 30 days

by Air: 10 days"
BLR7,Karnataka State,562106,"Anekal, Karnataka 562106","by Sea: 30 days

by Air: 10 days"
BOM1,Maharashtra State,421302,"Unnamed Road, Bhadwad Gaon, Sonale Village, Bhiwandi, Maharashtra 421302","by Sea: 30 days

by Air: 10 days"
BOM3,Maharashtra State,421302,"Cloudtail India Private Limited 52 K-Square Industrial and Logistics Park Near Pushkar Mela, Of National Highway 3 Village Kurund, Taluka, Bhiwandi, Maharashtra 421302","by Sea: 30 days

by Air: 10 days"
BOM4,Maharashtra State,421302,"Vashere, Maharashtra 421302","by Sea: 30 days

by Air: 10 days"
BOM5,Maharashtra State,421302,"Renaissance Industrial Smart City, Kalyan-Sape Rd, Vashere, Maharashtra 421302","by Sea: 30 days

by Air: 10 days"
BOM6,Maharashtra State,400101,"Kandivali, Akurli Industry Estate, Kandivali East, Mumbai, Maharashtra 400101","by Sea: 30 days

by Air: 10 days"
BOM7,Maharashtra State,421302,"NH-3, Mumbai - Nashik Expy, Maharashtra 421302","by Sea: 30 days

by Air: 10 days"
BOM9,Maharashtra State,421101,"vahuli gaon jai bhagwan complex, Mumbai - Nashik Expy, Bhiwandi, Maharashtra 421101","by Sea: 30 days

by Air: 10 days"
DEL2,Haryana State,122015,"Unit No. 1, Khewat/ Khata No: 373/ 400 Mustatil No. 31, MDR132, Tauru, Haryana 122015","by Sea: 30 days

by Air: 10 days"
DEL4,Haryana State,122503,"Jamalpur - Panchgaon Rd, Kharkari, Haryana 122503","by Sea: 30 days

by Air: 10 days"
DEL5,Haryana State,122414,"Unnamed Road, Bhora Kalan, Haryana 122414","by Sea: 30 days

by Air: 10 days"
HYD3,Telangana State,501218,"Shamshabad, Hyderabad, Telangana 501218","by Sea: 30 days

by Air: 10 days"
MAA4,Tamil Nadu State,602001,"Ponneri, Taluka, Durainallur, Tamil Nadu 602001","by Sea: 30 days

by Air: 10 days"
MAA5,Tamil Nadu State,600093,"Permalkoil St Ayyavupuram, Virugambakkam Chennai, Tamil Nadu 600093","by Sea: 30 days

by Air: 10 days"
SAMB,Gujarat State,382240,"Ramapir temple street no 7, Joravarnagar, Ahmedabad, Gujarat 382240","by Sea: 30 days

by Air: 10 days"
SATA,Punjab State,141418,"Gurudwara, Tehsil Payal, Nahar Logistics Park, Opposite, Katana Sahib Link Rd, Sahnewalï¼Œ Punjab State 141418","by Sea: 30 days

by Air: 10 days"
SBOB,Maharashtra State,421302,"84RR+H2F, Bhoirgaon, Maharashtra 421302","by Sea: 30 days

by Air: 10 days"
SCCA,West Bengal State,712203,"Ghoramara, Rishra, Simla, West Bengal 712203","by Sea: 30 days

by Air: 10 days"
SCJA,Tamil Nadu State,641044,"02, Chinnasamy Naidu Rd, C.K.Colony, B.K.R Nagar, New Siddhapudur, Tamil Nadu 641044","by Sea: 30 days

by Air: 10 days"
SDEA,National Capital Territory of Delhi,110044,"A-43, Ground Floor, Mohan Cooperative Industrial Estate, New Delhi, Delhi 110044","by Sea: 30 days

by Air: 10 days"
SDEC,Haryana State,122505,"TCI Supply Chain Solutions, Khasra No. 4/21, Pataudi Road, Gurugram, Haryana 122505","by Sea: 30 days

by Air: 10 days"
SDED,National Capital Territory of Delhi,110044,"J-4, Block B-1, Bolck B-1, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044","by Sea: 30 days

by Air: 10 days"
SDEE,National Capital Territory of Delhi,110044,"A-28, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044","by Sea: 30 days

by Air: 10 days"
